templateId,name,type,eventGuid,desc,parameters,score,node
20,喜得贵子,NormalEvent,a86f7e1e-921b-42b8-9555-dec674e2df25,{0}在{1}诞下一子。,Character|Location|Character,0,False
21,喜得千金,NormalEvent,2425d411-1f0b-4482-b610-89ef5a7db33f,{0}在{1}诞下一女。,Character|Location|Character,0,False
22,喜得贵子,NormalEvent,699239c9-8293-4b21-b479-daf07983156e,{0}在{1}诞下一子。,Character|Location|Character,0,False
23,喜得千金,NormalEvent,1612d6ee-f4fe-4ce1-9174-4fe434a8225a,{0}在{1}诞下一女。,Character|Location|Character,0,False
24,难产剩子,LockedEvent,4a3a0d8a-3140-400f-b444-f9ecb209cfba,{0}在{1}生育时发生意外，虽诞下一子，却终究香消玉殒。,Character|Location|Character,0,False
25,难产剩女,LockedEvent,2a0e5ea0-8418-4cc3-ba47-20bd9b2c5707,{0}在{1}生育时发生意外，虽诞下一女，却终究香消玉殒。,Character|Location|Character,0,False
26,难产剩子,NormalEvent,2c353211-ec1c-49dd-94cc-b396821348de,{0}在{1}生育时发生意外，虽诞下一子，却终究香消玉殒。,Character|Location|Character,0,False
27,难产剩女,NormalEvent,ac07bc64-eb8b-4214-92e4-15a63b77af40,{0}在{1}生育时发生意外，虽诞下一女，却终究香消玉殒。,Character|Location|Character,0,False
28,难产得子,NormalEvent,a572973e-af1e-4ff8-8e12-884b28671281,{0}在{1}生育时发生意外，最终顺利诞下一子。,Character|Location|Character,0,False
29,难产得女,NormalEvent,fd9e4d4d-c8c1-4858-880b-7d6cb01f959b,{0}在{1}生育时发生意外，最终顺利诞下一女。,Character|Location|Character,0,False
30,难产得子,NormalEvent,78513fac-0ba8-4c46-b892-26d8d1dc79f3,{0}在{1}生育时发生意外，最终顺利诞下一子。,Character|Location|Character,0,False
31,难产得女,NormalEvent,a224107b-2909-4f02-882e-a84f2cad38ee,{0}在{1}生育时发生意外，最终顺利诞下一女。,Character|Location|Character,0,False
32,无名遗孤,NormalEvent,8812d517-ca0a-4f9d-83e8-936376ae11c4,一名婴儿被遗弃在了太吾村…,Character,0,False
33,孩子抓周,NormalEvent,3da0ed73-3abe-47c4-9990-91beeca7e831,{0}满周岁了！,Character,0,False
34,教育子女,NormalEvent,90f67007-3c35-4b12-990e-66babdd88fed,{0}年岁渐长，正可开蒙教育…,Character,0,False
35,即将成年,NormalEvent,e7921be6-80b9-41e1-90e4-956461e282ba,{0}即将成年！,Character,0,False
36,俘虏产子,NormalEvent,2c295340-baa0-44a6-a8f4-858a959b2fb9,{0}关押中的{1}的孩子诞生了。,Character|Character|Character|Character|Character|Character|Character,0,False
37,俘虏结仇,NormalEvent,ffe2e080-8c18-4e8c-9073-e78d04fa061b,{0}在{1}因被{2}监禁，对{2}心生怨恨…,Character|Location|Character,0,False
38,同道婚配,NormalEvent,e1f06054-115f-48d6-b8c2-eeb8f62bafe0,{0}与{1}情投意合，想要互许终生，结为夫妻…,Character|Character,0,False
39,春日集市,NormalEvent,e859cd22-0fae-4356-8ae3-903c7bc82972,冬去春来，辞旧迎新，各地的商贾们纷纷举办起热闹的集会，随处可见赶集的百姓们。,,0,False
40,城镇比武,NormalEvent,4fbe0a50-be4f-42fd-9341-7b8498bae3e1,夏暑三伏，勤学苦练，热火朝天的城镇比武正在{0}举办。,Location,0,False
41,促织大赛,NormalEvent,80f68c9a-9506-4814-9215-5e8dd2698719,金秋伊始，秋虫活跃，一场促织大赛正在{0}轰轰烈烈地举办！,Location,0,False
42,较艺大会,NormalEvent,8d3de6a1-1d88-4bfa-99be-6722ed08b8f3,数九寒冬，劳作不辍，一场关于{0}的较艺大会正在{1}轰轰烈烈地举办！,LifeSkill|Location,0,False
43,结下仇怨,NormalEvent,471ea810-7be4-454c-8375-d6f2477a93ac,{0}在{1}对{2}怀恨在心，结下了莫名的仇怨。,Character|Location|Character,0,False
44,化解仇怨,NormalEvent,b335cd4b-0ce3-4882-a5bb-f2d2ad699b11,{0}在{1}化解了对{2}的仇恨，不再视其为敌人了。,Character|Location|Character,0,False
45,心生爱慕,NormalEvent,11ce2ba2-5abc-4f9e-9fbc-8892f03cd8f6,{0}在{1}对{2}心生爱慕之情。,Character|Location|Character,0,False
46,表露心事,NormalEvent,8ce2db54-994d-4790-bfe3-6cedd7473277,{0}在{1}向{2}表明心中爱意…,Character|Location|Character,0,False
47,恋人分手,NormalEvent,63a3c0e9-cf75-4c03-9453-48841d3e9fa9,{0}在{1}向{2}提议断绝彼此的情爱，只叹：此情可待成追忆，只是当时已惘然……,Character|Location|Character,0,False
48,共结连理,NormalEvent,9c81352d-b715-4554-85fc-50322fe428f6,{0}在{1}向{2}提议互许终生，结为夫妻…,Character|Location|Character,0,False
49,结为好友,NormalEvent,a546e498-7128-49df-ab14-09a6474cbc66,{0}在{1}与{2}相谈甚欢，提议结为知己好友…,Character|Location|Character,0,False
50,断绝友谊,NormalEvent,abce40cd-8b67-41a6-8015-d927d6f6ef3b,{0}在{1}与{2}产生隔阂，不复往日友谊…,Character|Location|Character,0,False
51,义结金兰,NormalEvent,9ba8de0b-1ffa-4083-9024-d349ec65cad3,{0}在{1}向{2}提议共结金兰之契，但求同生共死…,Character|Location|Character,0,False
52,割袍断义,NormalEvent,9836cfcf-3ff9-4724-b7d1-be307fee808b,{0}在{1}向{2}提出割袍断义，所谓：不及黄泉，无相见也…,Character|Location|Character,0,False
53,拜认义父,NormalEvent,f81b923a-110d-4956-8fab-802650fb5afd,{0}在{1}对{2}孺慕不已，请求拜认{2}为义父…,Character|Location|Character,0,False
54,拜认义母,NormalEvent,135e6b5f-afb8-4bbe-a50f-0e040a8ba52a,{0}在{1}对{2}孺慕不已，请求拜认{2}为义母…,Character|Location|Character,0,False
55,收养义子,NormalEvent,940bdcc2-59f8-483b-86e9-d80ced06fd40,{0}在{1}对{2}关怀不已，提出收养{2}为义子…,Character|Location|Character,0,False
56,收养义女,NormalEvent,6a905b7f-80e2-49dd-9539-a7e79f57454d,{0}在{1}对{2}关怀不已，提出收养{2}为义女…,Character|Location|Character,0,False
57,离开人世,NormalEvent,20eec777-8c29-45d1-9acc-7474942ab49c,{0}在{1}离开了人世。,Character|Location,0,False
58,俘虏逃脱,NormalEvent,cb6c9034-4da1-4d27-8b32-4ce6034d75d2,{0}在{1}摆脱了{2}的监禁逃走了……,Character|Location|Character,0,False
59,中止赴约,NormalEvent,e7dfbf0a-8fec-4e33-b4f7-2fc93a9799f1,{0}不再前往{1}赴约…,Character|Location,0,False
60,寻仇袭击,SpecialEvent,98c52d02-36aa-4293-9d40-5573f3322dac,{0}在{1}遭遇了{2}的寻仇袭击…,Character|Location|Character,0,False
61,请求保护,NormalEvent,17093897-d8d9-4d7d-86ed-229cc4e85afd,{0}在{1}遭遇了{2}的寻仇袭击，并请求{3}代其抵御{2}的袭击…,Character|Location|Character|Character,0,False
62,遭遇下毒,NormalEvent,79ab2055-ccab-41b9-af31-c9e5918a7893,{0}在{1}遭受毒害，并发现了正欲逃走的{2}…,Character|Location|Character,0,False
63,遭遇下毒,NormalEvent,4f418b2e-be18-4c1a-aa3a-306fcf929357,{0}在{1}遭受毒害。,Character|Location,0,False
64,遭遇损伤,NormalEvent,60d93b13-33b6-4be7-9a3b-7253275a2696,{0}在{1}被暗中损伤，并发现了正欲逃走的{2}…,Character|Location|Character,0,False
65,遭遇损伤,NormalEvent,b1e95ac4-0d8e-4b9e-954e-0ccd7c5e7c41,{0}在{1}被暗中损伤。,Character|Location,0,False
66,外伤请求,NormalEvent,3af56371-f736-4aa9-ae9b-c3c98ba0f4b0,{0}在{1}请求{2}赠予{3}，用以治疗外伤…,Character|Location|Character|ItemKey|BodyPartType,0,False
67,外伤请求,NormalEvent,d58fceec-2d53-4532-9893-d834db626b35,{0}在{1}请求{2}赠予{3}药材，用以治疗外伤…,Character|Location|Character|Integer,0,False
68,内伤请求,NormalEvent,3f335f54-d401-4951-9b9e-61c82c7d5bbc,{0}在{1}请求{2}赠予{3}，用以治疗内伤…,Character|Location|Character|ItemKey|BodyPartType,0,False
69,内伤请求,NormalEvent,3c71d6c1-f5a0-4e20-9eca-280dde1b2f84,{0}在{1}请求{2}赠予{3}药材，用以治疗内伤…,Character|Location|Character|Integer,0,False
70,驱毒请求,NormalEvent,1deadcc9-cca4-4091-8276-5f3a8b136fe0,{0}在{1}请求{2}赠予{3}，用以驱除{4}…,Character|Location|Character|ItemKey|PoisonType,0,False
71,驱毒请求,NormalEvent,d799f11c-7ff7-4f9e-83a6-192753411e7b,{0}在{1}请求{2}赠予{3}药材，用以驱除{4}…,Character|Location|Character|Integer|PoisonType,0,False
72,续命请求,NormalEvent,66fe331f-7bb2-422b-9a3e-892859eedb55,{0}在{1}请求{2}赠予{3}，用以疗疾续命…,Character|Location|Character|ItemKey,0,False
73,内息请求,NormalEvent,03b005e1-e0c6-4726-abc7-4e3121116049,{0}在{1}请求{2}赠予{3}，用以调理内息…,Character|Location|Character|ItemKey,0,False
74,内力请求,NormalEvent,d2e80cb3-4c6f-471d-83f9-422bbcab2d7f,{0}在{1}请求{2}赠予{3}，用以恢复内力…,Character|Location|Character|ItemKey,0,False
75,灭蛊请求,NormalEvent,d7ec7e02-ee62-4137-a8cb-a4961ec28bb0,{0}在{1}请求{2}赠予{3}，用以杀灭{4}…,Character|Location|Character|ItemKey|ItemKey,0,False
76,食物请求,NormalEvent,560cee7d-3955-4650-8fbf-cf66e80a321d,{0}在{1}请求{2}赠予{3}，用以果腹…,Character|Location|Character|ItemKey|Integer,0,False
77,茶酒请求,NormalEvent,e6a1795d-e1a1-46af-b977-f821fc1441f5,{0}在{1}请求{2}赠予{3}，用以舒怀…,Character|Location|Character|ItemKey,0,False
78,资源请求,NormalEvent,16bddd08-6083-4c11-9342-78922ed19b6b,{0}在{1}请求{2}赠予{3}{4}…,Character|Location|Character|Integer|Resource,0,False
79,物品请求,NormalEvent,7ac0429a-a48f-4adb-be4b-4cb767d978e4,{0}在{1}请求{2}赠予{3}…,Character|Location|Character|ItemKey|Integer,0,False
80,修理请求,NormalEvent,a61df3c7-c29b-4a81-b4c8-da7651c931e8,{0}在{1}请求{2}相助修理{3}…,Character|Location|Character|ItemKey|ItemKey|Integer|Resource,0,False
81,淬毒请求,NormalEvent,7386d3bc-3ebe-4603-b771-1f61f7a166b2,{0}在{1}请求{2}相助为{3}淬毒…,Character|Location|Character|ItemKey|ItemKey,0,False
82,技艺请求,NormalEvent,cbb59e89-a125-42ab-8692-e522c44a0bc8,{0}在{1}请求{2}指点{3}的第{4}篇…,Character|Location|Character|Item|Integer,0,False
83,武艺请求,NormalEvent,eb7f0c2a-60f9-4221-97e5-662d513620c1,{0}在{1}请求{2}指点{3}的第{4}篇…,Character|Location|Character|Item|Integer|Integer|Integer,0,False
84,研读技艺请求,NormalEvent,1735b4a9-4ece-4ff9-83f3-fa005cfa33e8,{0}在{1}请求{2}相助解读{3}的第{4}篇…,Character|Location|Character|ItemKey|Integer,0,False
85,研读武学请求,NormalEvent,9804522b-8380-4950-9996-f15a8387d802,{0}在{1}请求{2}相助解读{3}的第{4}篇…,Character|Location|Character|ItemKey|Integer|Integer,0,False
86,突破请求,NormalEvent,6c91f53d-6eb8-43e5-812d-e1838cab5c57,{0}在{1}请求{2}相助突破{3}的玄关…,Character|Location|Character|CombatSkill,0,False
87,切磋请求,NormalEvent,c485c693-5ff0-45ec-933c-62c75a045fee,{0}在{1}向{2}提出切磋武艺…,Character|Location|Character,0,False
88,挑战请求,NormalEvent,7d52876b-b8e7-421c-a4a7-a93916431aa3,{0}在{1}向{2}提出比试武艺…,Character|Location|Character,0,False
89,较艺请求,NormalEvent,c2019d63-3dc0-481c-9a9d-8f11afdea032,{0}在{1}向{2}提出比试技艺…,Character|Location|Character,0,False
90,促织决斗,NormalEvent,79c5748c-aac6-4e77-b32d-32bfd59be5f5,{0}在{1}向{2}提出促织决斗…,Character|Location|Character,0,False
91,窃取俘虏被抓,NormalEvent,24dd3ebb-4d21-492c-95e8-f7bd68c720ce,{0}在{1}暗中解救了被{2}关押的{3}…,Character|Location|Character|Character,0,False
92,窃取俘虏逃跑,NormalEvent,6ea53aad-a7a9-42d4-b604-4cb449cc307b,{0}关押的{2}在{1}被暗中解救了！,Character|Location|Character,0,False
93,遭遇唬骗俘虏,SpecialEvent,e81ef0d1-64ac-466d-9c12-730c0da1c6e7,{0}在{1}意图用计解救被{2}关押的{3}…,Character|Location|Character|Character,0,False
94,遭遇抢夺俘虏,SpecialEvent,202a620d-cee9-4df1-a48d-08a0a12e1dcc,{0}在{1}意图强行解救被{2}关押的{3}…,Character|Location|Character|Character,0,False
95,窃取资源被抓,NormalEvent,7862ad2f-0d39-4f35-bf68-ed9817cf9d3b,{0}在{1}窃取了{2}的部分{3}…,Character|Location|Character|Resource|Integer,0,False
96,窃取资源逃跑,NormalEvent,2e6e8d8e-1b7e-4826-8a88-c7d548a56281,{2}的部分{3}在{1}失窃了…,Character|Location|Character|Resource|Integer,0,False
97,遭遇唬骗资源,SpecialEvent,217e62da-2a6a-4496-905d-9722a84e4a38,{0}在{1}意图骗取{2}的{3}…,Character|Location|Character|Resource|Integer,0,False
98,遭遇抢夺资源,SpecialEvent,5392cdf7-2f52-4c14-9416-3025676d9dcc,{0}在{1}意图夺取{2}的{3}…,Character|Location|Character|Resource|Integer,0,False
99,窃取物品被抓,NormalEvent,7c4b526f-e634-4cac-94af-e64ae059910f,{0}在{1}窃取了{2}的{3}…,Character|Location|Character|ItemKey,0,False
100,窃取物品逃跑,NormalEvent,369a71c6-319a-4427-8729-df9fba616682,{2}的{3}在{1}失窃了…,Character|Location|Character|ItemKey,0,False
101,遭遇唬骗物品,SpecialEvent,32e1edf9-4c1c-4adf-819b-a3009e650a32,{0}在{1}意图骗取{2}的{3}…,Character|Location|Character|ItemKey,0,False
102,遭遇抢夺物品,SpecialEvent,f3341e73-d607-4d0d-b3c1-ed4c5ccd0e74,{0}在{1}意图夺取{2}的{3}…,Character|Location|Character|ItemKey,0,False
103,窃取技艺被抓,NormalEvent,3abe4e48-fab7-4619-bfc9-656c06dead27,{0}在{1}偷师了{2}的{3}第{4}篇，被{2}发现了…,Character|Location|Character|Item|Integer,0,False
104,窃取技艺逃跑,NormalEvent,266de680-6160-4a10-af71-678481915019,{0}在{1}偷师了{2}的{3}第{4}篇后全身而退…,Character|Location|Character|Item|Integer,0,False
105,遭遇唬骗技艺,SpecialEvent,e8912b09-71bd-4254-93b2-ed6266f5f8fa,{0}在{1}意图骗取{2}的{3}第{4}篇秘诀…,Character|Location|Character|Item|Integer,0,False
106,窃取武学被抓,NormalEvent,e4df3573-eaa7-4bec-a7f0-b528e2078d0f,{0}在{1}偷师了{2}的{3}第{4}篇，被{2}发现了…,Character|Location|Character|Item|Integer|Integer|Integer,0,False
107,窃取武学逃跑,NormalEvent,9fc43b8f-11cd-434a-b324-6a7ad2c45bd5,{0}在{1}偷师了{2}的{3}第{4}篇后全身而退…,Character|Location|Character|Item|Integer|Integer|Integer,0,False
108,遭遇唬骗武学,SpecialEvent,514e2102-26fb-4fe8-9a79-48e919c5acaa,{0}在{1}意图骗取{2}的{3}第{4}篇秘诀…,Character|Location|Character|Item|Integer|Integer|Integer,0,False
109,推恩施义,NormalEvent,eb338657-9fec-4129-bbbe-3e4390606d7e,{0}在{1}向{2}提议将{2}的恩义施予百姓…,Character|Location|Character,0,False
110,笼络人心,NormalEvent,657c9c77-5690-4e32-bbfc-245b44489374,{0}在{1}向{2}提议帮助{2}笼络当地人心…,Character|Location|Character,0,False
111,商会赞誉,NormalEvent,dec0683d-fade-4a91-94b7-125cf2394aab,{0}在{1}向{2}提议增进{2}与商会的好感…,Character|Location|Character,0,False
112,茶酒相邀,NormalEvent,13a9669f-1e5b-4519-99df-1123c41b0132,{0}在{1}以{3}邀约{2}…,Character|Location|Character|ItemKey|ItemKey,0,False
113,打折推销,NormalEvent,c86ac53a-cc8b-4208-bed6-366ac194572d,{0}在{1}向{2}推销{3}…,Character|Location|Character|ItemKey|Integer|Integer,0,False
114,施医赠药,NormalEvent,08d64ad1-2df9-4155-bcd4-bf7b8c367d58,{0}在{1}向{2}提议助其疗愈伤势…,Character|Location|Character|Integer,0,False
115,施医赠药,NormalEvent,55854256-94d7-4227-8ca2-ff074dcc9d1f,{0}在{1}向{2}提议助其驱除毒素…,Character|Location|Character|Integer,0,False
116,修补物品,NormalEvent,fdcb8aaf-ff9f-4bcb-981c-4e4f7c8d7648,{0}在{1}向{2}提议为其修补{3}…,Character|Location|Character|ItemKey|ItemKey|Resource|Integer,0,False
117,梳头修面,NormalEvent,99aca42c-8d46-499e-88b3-843f790c4c4c,{0}在{1}向{2}提议为其梳头修面…,Character|Location|Character,0,False
118,乞讨银钱,NormalEvent,2a523b5e-2660-45bd-a684-acfd42dcd604,{0}在{1}向{2}乞讨银钱…,Character|Location|Character,0,False
119,盟会失败,NormalEvent,cf1dca5b-7d9f-4e76-8d10-e2e59a24053b,因相枢之祸，天下武林盟会屡受袭扰，最终未能成功举办……,,0,False
120,筹备盟会,NormalEvent,d66412f3-357e-4ab4-bc29-707c391f1114,为筹备天下武林盟会，一队{0}的弟子找到了{1}的所在……,Settlement|Character,0,False
121,太吾村毁灭,LockedEvent,cce87696-5bc6-4006-80a0-e4df96277208,太吾村毁灭了！,,0,False
122,门派责罚！,NormalEvent,3b78ef2e-89b5-48b3-bd48-94d8aa6a11e7,奈何双飞燕，休负有情人，{0}因与太吾传人的情谊受到了门派责罚……,Character,0,False
123,奇异木人,NormalEvent,83d6b576-3458-4c2e-a2d9-8d7c0c0cc6a5,一具奇特的木人，忽然出现在太吾村的练功房中……,,0,False
124,奇异木人,NormalEvent,0940e147-8e6f-40be-be38-246081334f67,一具奇特的木人，忽然出现在太吾村的练功房中……,,0,False
125,奇异木人,NormalEvent,c8743e2b-29e1-434f-b0a5-61c9c7e47879,一具奇特的木人，忽然出现在太吾村的练功房中……,,0,False
126,奇异木人,NormalEvent,9c76da25-c084-499b-bb1a-30b25376edf6,一具奇特的木人，忽然出现在太吾村的练功房中……,,0,False
127,奇异木人,NormalEvent,bf5d6073-4ebe-4808-8f7c-e6514320f8ca,一具奇特的木人，忽然出现在太吾村的练功房中……,,0,False
128,奇异木人,NormalEvent,c7ce95b6-7e99-4873-9670-d7364b263615,一具奇特的木人，忽然出现在太吾村的练功房中……,,0,False
129,奇异木人,NormalEvent,2eb7d4aa-ee04-42e1-97e7-86351308d20d,一具奇特的木人，忽然出现在太吾村的练功房中……,,0,False
130,奇异木人,NormalEvent,f4cd2829-71b3-4d74-b618-242800ab1274,一具奇特的木人，忽然出现在太吾村的练功房中……,,0,False
131,奇异木人,NormalEvent,399fb669-fae9-41f1-a69a-57d040b54199,一具奇特的木人，忽然出现在太吾村的练功房中……,,0,False
132,背约负誓,NormalEvent,0555df77-0f9a-4ec0-ad45-882b4c579ecd,衾寒枕冷梦不成，斜倚红烛坐天明，因{0}未如约前往与{1}完婚，{1}决意断绝与{0}的情爱…,Character|Character,0,False
133,背约负誓,NormalEvent,7bcdde30-708e-4e10-8d55-7befc82e5e1b,{1}听闻{0}心生两意，另结良缘，于是决意断绝与{0}的情爱…,Character|Character,0,False
134,遭遇奇书挑战,SpecialEvent,d5eed465-57c2-471d-be63-c731173581e5,{0}在{1}向{2}发起挑战，誓要赢取手中的{3}……,Character|Location|Character|ItemKey,0,False
135,遭遇求取奇书,NormalEvent,885a4366-a3e4-4687-8f53-fde6e9eee1e8,{0}在{1}向{2}发起请求，希望受传手中的{3}……,Character|Location|Character|ItemKey,0,False
136,遭遇交换奇书,NormalEvent,e16be2e5-0112-467d-b91f-1e60e94fffb4,{0}在{1}向{2}提出交易，希望换取手中的{3}……,Character|Location|Character|ItemKey,0,False
137,遭遇交换奇书,NormalEvent,92bcf2b1-3711-4336-aa6a-28b63f7d188f,{0}在{1}向{2}提出交易，希望换取手中的{3}……,Character|Location|Character|ItemKey,0,False
138,遭遇交换奇书,NormalEvent,cbacdd62-ff8d-4e6f-8655-5d924b40daef,{0}在{1}向{2}提出交易，希望换取手中的{3}……,Character|Location|Character|ItemKey,0,False
139,遭遇窃取奇书成功,NormalEvent,24a28e9b-0d14-41d1-8c67-ef2f96ec5f72,{0}在{1}窃取了{2}手中的{3}。,Character|Location|Character|ItemKey|Integer,0,False
140,遭遇窃取奇书被抓,NormalEvent,8a56b164-7115-4c7f-bf5e-d0cabe2e63ad,{0}在{1}试图窃取{2}手中的{3}……,Character|Location|Character|ItemKey|Integer,0,False
141,遭遇唬骗奇书,SpecialEvent,e5d3f23a-7468-461e-ae95-b873ec052b86,{0}在{1}试图骗取{2}手中的{3}……,Character|Location|Character|ItemKey|Integer,0,False
142,遭遇夺取奇书,SpecialEvent,6b98acdc-46d3-4604-add5-f17ff20cad41,{0}在{1}试图夺取{2}手中的{3}……,Character|Location|Character|ItemKey|Integer,0,False
143,执迷相杀,SpecialEvent,bea538e6-21ea-49c4-b82b-8e9934cef884,奇书现世，引人执迷。{0}行至{1}，竟与执迷之人狭路相逢，遭受袭击……,Character|Location|Character,0,False
144,执迷相杀,SpecialEvent,030aaeef-e59e-4add-a8ce-e34254430cb9,奇书现世，引人执迷。{0}行至{1}，竟与执迷之人狭路相逢，遭受袭击……,Character|Location|Character,0,False
145,执迷相杀,SpecialEvent,70d9be73-bcff-4e02-a470-55b40827a685,奇书现世，引人执迷。{0}行至{1}，竟与执迷之人狭路相逢，遭受袭击……,Character|Location|Character,0,False
146,化身威显,NormalEvent,0e77f1c4-3e7f-4b51-a437-9706a2627e21,奇书现世，引人成魔。因{0}宝典持有之人心性大变，心与魔通，剑冢似乎也与其发生了共鸣……,ItemKey,0,False
147,化身锋敛,NormalEvent,255ce011-b2bb-44bc-9dc7-7c7f8b869a63,奇书影踪，宿昔流转。因{0}宝典易主，心魔蛰伏，剑冢似乎不再与其发生共鸣……,ItemKey,0,False
148,奇书出世,NormalEvent,5f5bbf2e-96d7-4766-9f27-e558a4a6de6b,{1}影踪初现，众多正邪高手逐渐聚集在{0}，只为争夺那流落世间的稀世宝典……,Location|ItemKey,0,False
149,奇书出世,NormalEvent,5e6309b0-b489-4302-868b-16c67f33b726,因{0}放弃，{2}影踪重现，众多正邪高手逐渐聚集在{1}，只为争夺那已然无主的稀世宝典……,Character|Location|ItemKey,0,False
150,奇书出世,NormalEvent,74f2ea8b-1258-4d67-98fe-7e2a68dd0c90,因{0}离世，{2}影踪重现，众多正邪高手逐渐聚集在{1}，只为争夺那已然无主的稀世宝典……,Character|Location|ItemKey,0,False
151,奇书出世,NormalEvent,a2195715-ad40-45d6-8786-356fe4f68a59,因{0}堕魔，{2}影踪重现，众多正邪高手逐渐聚集在{1}，只为争夺那已然无主的稀世宝典……,Character|Location|ItemKey,0,False
152,魂牵梦萦,NormalEvent,b987500e-a0a2-4c7b-9cfd-968fd422d09a,两心相印，如结丝萝，正是恩爱久长情浓时，{0}只欲与{1}共度闲暇……,Character|Character,0,False
153,庆贺生辰,NormalEvent,66ef6731-20e3-4439-ae76-d353485ba95a,{1}已至，此时正是{0}之生月……,Character|Month,0,False
154,情深似海,NormalEvent,33c8f19d-edd3-4f0f-a578-7ac855328edc,{0}与{1}相知相识已有悠悠数载……,Character|Character|Integer,0,False
155,遭受冷落,NormalEvent,4799bea8-5be9-4c06-9db9-8972c6803c26,情人怨遥夜，竟夕起相思。怨怼之情，疾苦难知 ……,Character,0,False
156,醋海翻波,SpecialEvent,849c544c-c42f-42bc-a8b0-aa8166f25aa4,闻有两意，心生嫌隙，{1}似是有话要与{0}说……,Character|Character,0,False
157,风流危机,SpecialEvent,50791f39-a584-4077-855c-712f7a9aebd0,乱花迷眼，故而情之难专，如今{1}、{2}、{3}似是有话要与{0}说……,Character|Character|Character|Character,0,False
158,陪伴孕育,NormalEvent,ed865595-294f-4f01-a8b5-05471ddb7fbc,{1}身怀六甲已有一段时日，{0}日日相伴在侧，琴瑟调和……,Character|Character,0,False
159,万千兄弟,SpecialEvent,27b43a01-08a1-43a5-9db6-9d763e98df92,于江湖中四散寻访{0}下落的群丐似已返回……,Character,0,False
160,万千兄弟,SpecialEvent,51909004-b87d-43a8-8314-c4c2b16069e4,于江湖中四散寻访{0}下落的群丐似已返回……,Character|Location,0,False
161,万千兄弟,SpecialEvent,60d5fd24-78a0-4c69-8464-6045b69e4c3c,于江湖中四散寻访{0}下落的群丐似已返回……,Character,0,False
162,万千兄弟,SpecialEvent,b2c38eb6-111e-4af1-9e0a-161f48eaaa0f,于江湖中四散寻访{0}下落的群丐似已返回……,Character|Location,0,False
